loop,x,y
0,14.0407,7.9882
0,14.0407,8.1882
0,14.0407,8.3882
0,14.0407,8.5882
0,13.9407,8.6882
0,13.8407,8.7882
0,13.8407,8.9882
0,13.8407,9.1882
0,13.8407,9.3882
0,13.7407,9.4882
0,13.6407,9.5882
0,13.6407,9.7882
0,13.5407,9.8882
0,13.4407,9.9882
0,13.4407,10.1882
0,13.4407,10.3882
0,13.3407,10.4882
0,13.2407,10.5882
0,13.2407,10.7882
0,13.1407,10.8882
0,13.0407,10.9882
0,12.9407,11.0882
0,12.8407,11.1882
0,12.7407,11.2882
0,12.6407,11.3882
0,12.5407,11.4882
0,12.4407,11.5882
0,12.4407,11.7882
0,12.3407,11.8882
0,12.2407,11.9882
0,12.1407,12.0882
0,12.0407,12.1882
0,11.9407,12.2882
0,11.8407,12.3882
0,11.7407,12.4882
0,11.6407,12.5882
0,11.5407,12.6882
0,11.3407,12.6882
0,11.2407,12.7882
0,11.1407,12.8882
0,11.0407,12.9882
0,10.9407,13.0882
0,10.8407,13.1882
0,10.7407,13.2882
0,10.6407,13.3882
0,10.5407,13.4882
0,10.4407,13.5882
0,10.3407,13.6882
0,10.1407,13.6882
0,10.0407,13.7882
0,9.9407,13.8882
0,9.8407,13.9882
0,9.7407,14.0882
0,9.5407,14.0882
0,9.4407,14.1882
0,9.3407,14.2882
0,9.2407,14.3882
0,9.1407,14.4882
0,9.0407,14.5882
0,8.9407,14.6882
0,8.7407,14.6882
0,8.6407,14.7882
0,8.5407,14.8882
0,8.3407,14.8882
0,8.2407,14.9882
0,8.1407,15.0882
0,7.9407,15.0882
0,7.8407,15.1882
0,7.7407,15.2882
0,7.5407,15.2882
0,7.4407,15.3882
0,7.3407,15.4882
0,7.1407,15.4882
0,6.9407,15.4882
0,6.8407,15.5882
0,6.7407,15.6882
0,6.5407,15.6882
0,6.4407,15.7882
0,6.3407,15.8882
0,6.1407,15.8882
0,6.0407,15.9882
0,5.9407,16.0882
0,5.7407,16.0882
0,5.5407,16.0882
0,5.4407,16.1882
0,5.3407,16.2882
0,5.1407,16.2882
0,4.9407,16.2882
0,4.7407,16.2882
0,4.6407,16.3882
0,4.5407,16.4882
0,4.3407,16.4882
0,4.1407,16.4882
0,3.9407,16.4882
0,3.8407,16.5882
0,3.7407,16.6882
0,3.5407,16.6882
0,3.3407,16.6882
0,3.1407,16.6882
0,3.0407,16.7882
0,2.9407,16.8882
0,2.7407,16.8882
0,2.5407,16.8882
0,2.3407,16.8882
0,2.1407,16.8882
0,1.9407,16.8882
0,1.7407,16.8882
0,1.6407,16.9882
0,1.5407,17.0882
0,1.3407,17.0882
0,1.1407,17.0882
0,0.9407,17.0882
0,0.7407,17.0882
0,0.5407,17.0882
0,0.3407,17.0882
0,0.1407,17.0882
0,-0.0593,17.0882
0,-0.2593,17.0882
0,-0.4593,17.0882
0,-0.6593,17.0882
0,-0.8593,17.0882
0,-1.0593,17.0882
0,-1.2593,17.0882
0,-1.4593,17.0882
0,-1.6593,17.0882
0,-1.7593,16.9882
0,-1.8593,16.8882
0,-2.0593,16.8882
0,-2.2593,16.8882
0,-2.4593,16.8882
0,-2.6593,16.8882
0,-2.8593,16.8882
