step,control_arm_a,control_arm_b,turn_control_arm_a,turn_control_arm_b,node_end_x,node_end_y,leg
190,143.649200,63.218011,0.414209,-0.748083,-12.560000,-3.000000,3
191,144.072817,62.468471,0.423617,-0.749540,-12.720000,-3.000000,3
192,144.505896,61.717144,0.433080,-0.751327,-12.880000,-3.000000,3
193,144.948511,60.963694,0.442615,-0.753450,-13.040000,-3.000000,3
194,145.400754,60.207778,0.452243,-0.755916,-13.200000,-3.000000,3
195,145.862736,59.449043,0.461982,-0.758735,-13.360000,-3.000000,3
196,146.334589,58.687127,0.471853,-0.761916,-13.520000,-3.000000,3
197,146.816467,57.921656,0.481878,-0.765471,-13.680000,-3.000000,3
198,147.308546,57.152243,0.492080,-0.769413,-13.840000,-3.000000,3
199,147.811029,56.378485,0.502483,-0.773758,-14.000000,-3.000000,3
200,147.239570,56.009221,-0.571458,-0.369264,-14.000000,-2.880000,4
201,146.670652,55.634229,-0.568919,-0.374992,-14.000000,-2.760000,4
202,146.104327,55.253568,-0.566325,-0.380661,-14.000000,-2.640000,4
203,145.540651,54.867296,-0.563675,-0.386272,-14.000000,-2.520000,4
204,144.979683,54.475474,-0.560968,-0.391822,-14.000000,-2.400000,4
205,144.421481,54.078162,-0.558203,-0.397312,-14.000000,-2.280000,4
206,143.866104,53.675423,-0.555377,-0.402739,-14.000000,-2.160000,4
207,143.313613,53.267318,-0.552490,-0.408104,-14.000000,-2.040000,4
208,142.764073,52.853912,-0.549541,-0.413406,-14.000000,-1.920000,4
209,142.217544,52.435269,-0.546528,-0.418643,-14.000000,-1.800000,4
210,141.674094,52.011453,-0.543451,-0.423816,-14.000000,-1.680000,4
211,141.133786,51.582531,-0.540308,-0.428922,-14.000000,-1.560000,4
212,140.596688,51.148569,-0.537098,-0.433962,-14.000000,-1.440000,4
213,140.062866,50.709635,-0.533822,-0.438935,-14.000000,-1.320000,4
214,139.532389,50.265795,-0.530477,-0.443839,-14.000000,-1.200000,4
215,139.005327,49.817120,-0.527063,-0.448675,-14.000000,-1.080000,4
216,138.481747,49.363679,-0.523580,-0.453442,-14.000000,-0.960000,4
217,137.961721,48.905540,-0.520026,-0.458139,-14.000000,-0.840000,4
218,137.445319,48.442774,-0.516402,-0.462766,-14.000000,-0.720000,4
219,136.932611,47.975452,-0.512707,-0.467322,-14.000000,-0.600000,4
220,136.423670,47.503645,-0.508941,-0.471807,-14.000000,-0.480000,4
221,135.918567,47.027424,-0.505103,-0.476221,-14.000000,-0.360000,4
222,135.417373,46.546861,-0.501193,-0.480563,-14.000000,-0.240000,4
223,134.920162,46.062028,-0.497212,-0.484833,-14.000000,-0.120000,4
