label,stroke,point,x,y,pen
C,0,35,0.00456,0.41318,1
C,0,36,0.00891,0.37904,1
C,0,37,0.01468,0.34549,1
C,0,38,0.02184,0.31270,1
C,0,39,0.03036,0.28081,1
C,0,40,0.04019,0.25000,1
C,0,41,0.05129,0.22040,1
C,0,42,0.06360,0.19217,1
C,0,43,0.07706,0.16543,1
C,0,44,0.09160,0.14033,1
C,0,45,0.10716,0.11698,1
C,0,46,0.12366,0.09549,1
C,0,47,0.14102,0.07598,1
C,0,48,0.15916,0.05853,1
C,0,49,0.17798,0.04323,1
C,0,50,0.19739,0.03015,1
C,0,51,0.21731,0.01937,1
C,0,52,0.23763,0.01093,1
C,0,53,0.25825,0.00487,1
C,0,54,0.27907,0.00122,1
C,0,55,0.30000,0.00000,1
C,0,56,0.32093,0.00122,1
C,0,57,0.34175,0.00487,1
C,0,58,0.36237,0.01093,1
C,0,59,0.38269,0.01937,1
C,0,60,0.40261,0.03015,1
C,0,61,0.42202,0.04323,1
C,0,62,0.44084,0.05853,1
C,0,63,0.45898,0.07598,1
C,0,64,0.47634,0.09549,1
C,0,65,0.49284,0.11698,1
D,0,0,0.00000,0.00000,0
D,0,1,0.00000,1.00000,1
D,1,0,0.00000,1.00000,0
D,1,1,0.03436,0.99912,1
D,1,2,0.06860,0.99649,1
D,1,3,0.10260,0.99212,1
D,1,4,0.13623,0.98601,1
D,1,5,0.16939,0.97820,1
D,1,6,0.20196,0.96871,1
D,1,7,0.23381,0.95757,1
D,1,8,0.26484,0.94483,1
D,1,9,0.29495,0.93052,1
D,1,10,0.32402,0.91470,1
D,1,11,0.35194,0.89743,1
D,1,12,0.37864,0.87876,1
D,1,13,0.40400,0.85875,1
D,1,14,0.42794,0.83749,1
D,1,15,0.45038,0.81504,1
D,1,16,0.47124,0.79149,1
D,1,17,0.49045,0.76691,1
D,1,18,0.50793,0.74140,1
D,1,19,0.52362,0.71503,1
D,1,20,0.53748,0.68791,1
D,1,21,0.54945,0.66013,1
D,1,22,0.55949,0.63179,1
D,1,23,0.56756,0.60299,1
D,1,24,0.57364,0.57382,1
D,1,25,0.57771,0.54440,1
D,1,26,0.57975,0.51482,1
D,1,27,0.57975,0.48518,1
D,1,28,0.57771,0.45560,1
D,1,29,0.57364,0.42618,1
D,1,30,0.56756,0.39701,1
D,1,31,0.55949,0.36821,1
